,up,down,left,right
"(7,,)",-4.95388313982,-4.97048520948,-4.97048520948,-4.97048520948
"(7,,)",-203.963106512,-4.96310651185,-203.963106512,-4.96310651185
"(7,,)",-4.97048520948,-4.95388313982,-4.97048520948,-4.97048520948
"(7,,)",-4.97638816759,-4.96310651185,-4.96310651185,-4.97638816759
"(7,,)",-203.725122093,-203.887410009,-4.97048520948,-203.82407814
"(7,,)",-4.85926251164,-203.780097674,-4.97638816759,-4.78009767444
"(7,,)",-4.82407813956,-4.72512209306,-203.82407814,-4.72512209306
"(7,,)",-203.463129088,-4.65640261632,-4.78009767444,-203.463129088
"(7,,)",-4.32891136,-4.5705032704,-4.72512209306,-4.32891136
"(7,,)",-203.1611392,-4.463129088,-203.463129088,-4.1611392
"(7,,)",-3.951424,-4.32891136,-4.32891136,-203.32891136
"(7,,)",-4.1611392,-4.463129088,-4.1611392,-203.32891136
"(8,,)",-4.97048520948,-203.970485209,-203.976388168,-4.97048520948
"(8,,)",-203.963106512,-4.96310651185,-203.976388168,-4.96310651185
"(8,,)",-4.97048520948,-203.95388314,-4.97048520948,-4.95388313982
"(8,,)",-4.96310651185,-4.94235392477,-4.96310651185,-4.96310651185
"(8,,)",-4.97048520948,-203.887410009,-4.95388313982,-203.887410009
"(8,,)",-4.97638816759,-4.85926251164,-4.96310651185,-203.780097674
"(8,,)",-203.82407814,-4.82407813956,-203.887410009,-4.72512209306
"(8,,)",-4.78009767444,-4.78009767444,-203.780097674,-4.65640261632
"(8,,)",-4.72512209306,-4.72512209306,-4.72512209306,-4.5705032704
"(8,,)",-203.463129088,-203.656402616,-4.65640261632,-4.463129088
"(8,,)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(8,,)",-4.1611392,-4.463129088,-4.463129088,-4.463129088
"(8,,)",-203.32891136,-4.5705032704,-4.32891136,-4.463129088
"(9,,)",-203.976388168,-4.96310651185,-203.970485209,-4.96310651185
"(9,,)",-4.97048520948,-4.95388313982,-203.970485209,-203.95388314
"(9,,)",-4.96310651185,-4.94235392477,-4.96310651185,-4.94235392477
"(9,,)",-4.95388313982,-4.92794240596,-203.95388314,-203.887410009
"(9,,)",-4.96310651185,-4.90992800745,-4.94235392477,-4.85926251164
"(9,,)",-203.887410009,-4.88741000932,-203.887410009,-4.82407813956
"(9,,)",-203.780097674,-203.859262512,-4.85926251164,-4.78009767444
"(9,,)",-4.72512209306,-203.82407814,-4.82407813956,-4.72512209306
"(9,,)",-4.65640261632,-4.78009767444,-4.78009767444,-203.656402616
"(9,,)",-4.5705032704,-4.72512209306,-4.72512209306,-4.5705032704
"(9,,)",-4.463129088,-4.65640261632,-203.656402616,-4.463129088
"(9,,)",-4.32891136,-4.5705032704,-4.5705032704,-4.5705032704
"(9,,)",-4.463129088,-4.65640261632,-4.463129088,-4.5705032704
"(1,0)",-203.970485209,-4.96310651185,-4.96310651185,-4.95388313982
"(1,0)",-4.96310651185,-4.95388313982,-4.96310651185,-4.94235392477
"(1,0)",-203.95388314,-4.94235392477,-4.95388313982,-4.92794240596
"(1,0)",-4.94235392477,-4.92794240596,-4.94235392477,-4.90992800745
"(1,0)",-203.887410009,-4.90992800745,-4.92794240596,-4.88741000932
"(1,0)",-4.85926251164,-4.88741000932,-4.90992800745,-203.859262512
"(1,0)",-4.82407813956,-203.859262512,-4.88741000932,-203.82407814
"(1,0)",-4.78009767444,-203.82407814,-203.859262512,-4.78009767444
"(1,0)",-4.72512209306,-4.78009767444,-203.82407814,-4.72512209306
"(1,0)",-203.656402616,-4.72512209306,-4.78009767444,-4.65640261632
"(1,0)",-4.5705032704,-4.65640261632,-4.72512209306,-4.5705032704
"(1,0)",-4.463129088,-4.5705032704,-4.65640261632,-4.65640261632
"(1,0)",-4.5705032704,-4.65640261632,-4.5705032704,-4.65640261632
