,up,down,left,right
"(2,,)",-2.44,-200.0,-202.3616,-1.8
"(2,,)",-2.44,-3.3616,-201.44,-200.0
"(2,,)",-201.952,-3.3616,-1.8,-202.3616
"(2,,)",-3.951424,-2.952,-201.44,-201.44
"(2,,)",-3.68928,-2.44,-201.44,-201.44
"(2,,)",-3.68928,-2.952,-201.44,-201.952
"(2,,)",-3.3616,-2.44,-201.44,-2.44
"(2,,)",-2.952,-2.952,-200.8,-201.952
"(2,,)",-202.3616,-2.44,-2.44,-201.952
"(2,,)",-3.951424,-2.44,-201.952,-201.44
"(2,,)",-3.68928,-1.8,-201.952,-3.3616
"(2,,)",-3.68928,-3.3616,-201.44,-202.68928
"(2,,)",-202.951424,-3.3616,-3.3616,-3.951424
"(2,,)",-3.951424,-3.68928,-202.68928,-202.951424
"(2,,)",-4.1611392,-3.68928,-3.951424,-202.951424
"(2,,)",-3.68928,-3.68928,-202.68928,-361.88928
"(2,,)",-202.951424,-202.68928,-202.951424,-360.64
"(3,,)",-201.44,-360.0,-201.44,-1.8
"(3,,)",-1.8,-200.0,-201.44,-2.44
"(3,,)",-200.8,-201.952,-1.8,-2.44
"(3,,)",-201.44,-2.952,-2.44,-2.44
"(3,,)",-201.952,-201.952,-2.44,-2.952
"(3,,)",-201.44,-201.952,-2.952,-2.44
"(3,,)",-201.952,-202.3616,-2.952,-2.952
"(3,,)",-2.44,-201.952,-3.3616,-3.3616
"(3,,)",-200.8,-202.68928,-2.952,-2.952
"(3,,)",-2.952,-3.3616,-2.44,-201.952
"(3,,)",-201.952,-202.68928,-2.44,-3.68928
"(3,,)",-3.951424,-201.952,-201.952,-3.68928
"(3,,)",-201.952,-202.68928,-3.68928,-3.3616
"(3,,)",-202.951424,-202.3616,-3.3616,-3.951424
"(3,,)",-202.951424,-202.68928,-3.68928,-3.951424
"(3,,)",-202.68928,-202.951424,-3.951424,-3.951424
"(3,,)",-202.3616,-202.951424,-3.951424,-4.1611392
"(3,,)",-202.68928,-202.3616,-3.951424,-3.951424
"(3,,)",-202.951424,-202.68928,-4.1611392,-3.68928
"(3,,)",-202.951424,-3.951424,-3.3616,-202.68928
"(3,,)",-202.68928,-202.3616,-3.68928,-3.3616
"(3,,)",-202.3616,-2.952,-202.68928,-202.3616
"(3,,)",-202.3616,-202.3616,-3.3616,-3.3616
"(3,,)",-202.3616,-2.952,-202.68928,-201.952
"(3,,)",-201.44,-200.0,-3.3616,-2.44
"(3,,)",-2.952,-201.44,-201.44,-3.3616
"(3,,)",-201.44,-200.8,-3.3616,-2.952
"(3,,)",-202.3616,-201.44,-2.952,-2.44
"(3,,)",-201.952,-201.44,-2.952,-1.8
"(3,,)",-201.44,-3.3616,-2.44,-2.44
"(3,,)",-200.8,-200.8,-2.952,-1.8
"(3,,)",-2.44,-201.44,-2.44,-2.44
"(3,,)",-201.952,-201.952,-1.8,-2.952
"(3,,)",-201.952,-201.44,-2.44,-2.952
"(3,,)",-201.44,-202.3616,-2.952,-2.44
"(3,,)",-3.3616,-202.3616,-2.952,-3.3616
"(3,,)",-202.68928,-202.68928,-3.3616,-3.68928
"(3,,)",-3.951424,-201.952,-3.3616,-3.951424
"(3,,)",-202.68928,-202.3616,-3.68928,-3.951424
"(3,,)",-202.951424,-3.68928,-3.68928,-202.68928
"(3,,)",-361.88928,-202.951424,-3.3616,-202.68928
"(4,,)",-201.44,-201.44,-360.0,-200.0
"(4,,)",-1.8,-2.44,-360.0,0.0
"(4,,)",-2.44,-2.952,-200.0,-2.952
"(4,,)",-2.952,-2.952,-201.952,-201.952
"(4,,)",-2.44,-2.952,-3.3616,-201.952
"(4,,)",-2.952,-2.44,-201.952,-202.3616
"(4,,)",-3.3616,-2.952,-201.952,-201.952
"(4,,)",-2.952,-2.44,-200.8,-201.952
"(4,,)",-3.3616,-201.952,-201.952,-3.3616
"(4,,)",-2.952,-3.3616,-202.68928,-202.3616
"(4,,)",-201.952,-3.68928,-3.3616,-202.68928
