,up,down,left,right
"(1,1)",-201.44,-201.44,-1.0,-2.44
"(1,1)",-201.952,-2.952,-200.8,-2.44
"(1,1)",-201.44,-200.0,-2.952,-2.44
"(1,1)",-1.8,-200.8,-2.952,-200.8
"(1,1)",-201.44,-200.8,-2.44,-2.44
"(1,1)",-201.952,-201.44,-201.952,-1.8
"(1,1)",-202.3616,-200.8,-2.44,-2.44
"(1,1)",-201.952,-1.8,-2.952,-201.952
"(1,1)",-360.0,-200.0,-2.44,-201.952
"(1,2)",-201.952,-1.8,-201.44,-1.8
"(1,2)",-2.44,-1.0,-201.44,-201.44
"(1,2)",-200.8,-1.8,-1.8,-201.952
"(1,2)",-3.3616,-2.44,-200.8,-201.952
"(1,2)",-2.952,-2.44,-201.44,-201.44
"(1,2)",-3.68928,-1.8,-201.952,-201.44
"(1,2)",-2.952,-1.8,-201.44,-2.44
"(1,2)",-2.952,-1.8,-201.44,-201.952
"(1,2)",-201.952,-201.44,-2.44,-201.44
"(1,2)",-2.44,-1.8,-201.44,-201.44
"(1,2)",-1.8,-1.8,-201.44,-200.8
"(1,2)",-2.44,-1.0,-200.8,-201.44
"(1,2)",-201.952,-2.44,-200.8,-2.44
"(1,2)",-1.8,-2.952,-201.44,-201.952
"(1,2)",-3.3616,-2.44,-2.44,-201.44
"(1,2)",-2.952,-2.952,-201.952,-202.3616
"(1,2)",-3.3616,-201.44,-201.44,-3.68928
"(1,2)",-3.68928,-3.951424,-202.68928,-201.952
"(1,2)",-202.68928,-3.68928,-3.951424,-2.952
"(1,2)",-3.3616,-3.951424,-201.44,-201.952
"(1,2)",-3.68928,-201.952,-2.44,-2.952
"(1,2)",-3.68928,-2.952,-201.952,-201.44
"(1,2)",-201.952,-2.44,-3.3616,-2.44
"(1,2)",-2.44,-1.8,-201.952,-201.44
"(1,2)",-1.8,-2.44,-2.44,-200.8
"(1,2)",-1.0,-1.8,-201.44,-201.44
"(1,2)",-1.8,-2.44,-200.8,-201.952
"(1,2)",-2.44,-2.952,-201.44,-202.3616
"(1,2)",-2.952,-202.3616,-201.952,-3.68928
"(1,2)",-3.3616,-3.3616,-202.3616,-201.44
"(1,2)",-201.952,-2.44,-3.3616,-1.8
"(1,2)",-1.0,-2.44,-201.44,-201.44
"(1,2)",-200.8,-201.952,-1.8,-2.952
"(1,2)",-2.952,-2.44,-201.44,-200.0
"(1,2)",-1.8,-1.8,-2.44,-200.0
"(1,2)",-2.44,-1.8,-200.0,-200.0
"(1,2)",-200.8,-1.8,-200.8,-201.44
"(1,2)",-2.44,-1.8,-200.8,-201.44
"(1,2)",-2.952,-1.8,-201.44,-1.8
"(1,2)",-2.44,-1.0,-201.44,-200.0
"(1,2)",-201.952,0.0,-1.8,-200.0
"(1,3)",-201.44,-201.44,-1.8,-2.44
"(1,3)",-1.8,-200.8,-2.44,-1.8
"(1,3)",-201.44,-201.44,-1.0,-2.44
"(1,3)",-201.952,-200.8,-1.8,-2.44
"(1,3)",-201.952,-201.952,-2.44,-1.8
"(1,3)",-201.44,-200.8,-2.44,-1.0
"(1,3)",-201.44,-201.44,-1.8,-2.44
"(1,3)",-1.8,-201.44,-1.8,-201.44
"(1,3)",-201.44,-360.0,-2.44,-1.8
"(1,3)",-201.44,-201.44,-201.44,-1.0
"(1,3)",-201.44,-201.44,-1.8,-1.0
"(1,3)",-200.8,-201.952,-1.8,-2.44
"(1,3)",-201.44,-201.952,-2.44,-1.8
"(1,3)",-2.44,-201.44,-2.44,-3.3616
"(1,3)",-201.952,-201.952,-2.952,-2.952
"(1,3)",-202.3616,-201.44,-2.44,-202.3616
"(1,3)",-200.0,-361.152,-2.952,-3.3616
"(1,3)",-3.951424,-201.952,-202.3616,-3.68928
"(1,3)",-201.952,-202.951424,-3.3616,-3.3616
"(1,3)",-3.68928,-202.68928,-3.68928,-202.3616
"(1,3)",-201.952,-361.5616,-3.3616,-2.952
"(1,3)",-3.3616,-201.952,-201.952,-2.44
"(1,3)",-201.952,-201.44,-2.952,-1.8
"(1,3)",-2.44,-201.44,-2.44,-1.0
"(1,3)",-201.44,-200.8,-1.8,-2.952
"(1,3)",-200.8,-202.3616,-2.44,-2.44
"(1,3)",-201.44,-201.44,-1.8,-2.952
"(1,3)",-201.952,-202.3616,-2.44,-202.3616
"(1,3)",-202.3616,-361.152,-2.952,-3.3616
"(1,3)",-3.68928,-202.68928,-202.3616,-2.952
"(1,3)",-201.44,-202.3616,-3.3616,-2.44
"(1,3)",-1.8,-201.952,-2.952,-201.952
"(1,3)",-201.44,-361.152,-2.44,-2.44
"(1,3)",-2.952,-201.952,-201.952,-1.8
"(1,3)",-201.44,-201.952,-2.44,-1.8
"(1,3)",-200.8,-200.0,-2.44,-2.44
"(1,3)",-201.44,-200.0,-2.44,-1.8
"(1,3)",-201.44,-201.44,-1.8,-1.8
"(1,3)",-201.44,-200.0,-1.8,-1.0
"(1,3)",-1.0,0.0,-1.8,0.0
"(1,3)",0.0,0.0,0.0,0.0
"(1,4)",-2.44,-201.44,-201.44,-200.8
"(1,4)",-2.44,-200.8,-201.44,-201.44
"(1,4)",-1.8,-201.44,-200.8,-200.0
"(1,4)",-2.44,-200.0,-201.44,-200.0
"(1,4)",-2.44,-201.44,-201.952,-200.8
"(1,4)",-1.0,-200.8,-200.0,-201.44
"(1,4)",-1.8,-201.44,-200.8,-201.44
"(1,4)",-1.8,-201.44,-201.44,-360.64
"(1,4)",-201.44,-360.64,-201.44,-201.44
"(1,4)",-1.8,-201.44,-200.0,-201.44
"(1,4)",-1.8,-201.44,-201.44,-201.952
"(1,4)",-2.44,-201.952,-201.44,-200.8
"(1,4)",-2.44,-201.952,-201.952,-201.44
"(1,4)",-2.952,-201.44,-200.8,-201.952
"(1,4)",-2.952,-200.8,-201.44,-200.8
"(1,4)",-1.8,-201.44,-202.3616,-361.152
"(1,4)",-202.3616,-361.152,-201.44,-202.68928
"(1,4)",-3.3616,-201.952,-361.152,-202.3616
"(1,4)",-3.68928,-202.951424,-202.68928,-201.952
"(1,4)",-3.3616,-201.952,-202.3616,-361.5616
"(1,4)",-201.952,-361.5616,-201.952,-201.952
"(1,4)",-2.44,-201.952,-361.5616,-201.44
"(1,4)",-1.8,-201.44,-201.952,-201.44
"(1,4)",-1.8,-201.44,-200.0,-201.952
"(1,4)",-2.44,-200.0,-201.44,-202.3616
"(1,4)",-2.952,-202.3616,-201.952,-201.44
"(1,4)",-1.8,-201.44,-202.3616,-202.3616
"(1,4)",-2.952,-202.3616,-201.44,-361.152
"(1,4)",-202.3616,-361.152,-202.3616,-202.68928
"(1,4)",-3.3616,-202.68928,-361.152,-202.3616
"(1,4)",-2.952,-201.952,-202.3616,-201.44
"(1,4)",-2.44,-201.44,-201.952,-360.0
"(1,4)",-201.952,-360.0,-201.952,-201.952
"(1,4)",-2.44,-201.952,-361.5616,-201.952
"(1,4)",-2.44,-200.0,-201.44,-200.0
"(1,4)",-2.44,0.0,-200.0,-200.0
"(1,4)",0.0,0.0,-200.0,-201.44
"(1,4)",-2.44,-201.44,-200.0,-200.0
"(1,4)",-1.8,-200.0,-200.0,-200.8
"(1,4)",-1.0,-200.0,-200.0,-200.0
"(1,4)",0.0,0.0,-200.8,-200.0
